Issuer;Customer;Card;License plate No;Transactiondate;Product INV;Quantity;Gross CC;VAT;Voucher;Mileage;Corrected mileage;Additional info;Supply country;Site Town;Product DEL;Unitprice;Amount;Discount;Surcharge;VAT;Suppliercurrency;Invoice No;Invoice date;Invoiced?;VAT2010;State;Supplier;Cost 1;Cost 2;Reference No;Recordtype;Amount other;is listprice ?;Approval code;Date to;Final Trx.;LPI
710111;107248;385;BG 931 - IP;2024-08-27 09:09:00;OMV EVRO DIZEL;32.06;5,802.86;967.14;00309737;145988;145988;                  ;SR;ADA CIGANLIJA;OMV EVRO DIZEL;181.000;5,802.86;0.00;0.00;967.14;RSD;;;NO;NO;217;OMV-RS;;;;D;6,251.70;Yes;791007;2024-08-27;1;
710111;107248;179;BG 2610 - ZC;2024-07-08 11:52:00;OMV EVRO DIZEL;50.00;9,875.00;1,645.83;00427813;155400;155400;                  ;SR;BUBANJ POTOK;OMV EVRO DIZEL;197.500;9,875.00;0.00;0.00;1,645.83;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;10,400.00;Yes;715242;2024-07-08;1;
710111;107248;179;BG 2610 - ZC;2024-07-23 06:51:00;OMV EVRO DIZEL;50.01;9,501.90;1,583.65;00374330;156500;156500;                  ;SR;OBILAZNICA 1;OMV EVRO DIZEL;190.000;9,501.90;0.00;0.00;1,583.65;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;10,252.10;Yes;765113;2024-07-23;1;
710111;107248;245;BG 1576 - KU;2024-08-02 17:13:00;OMV EVRO DIZEL;35.98;6,728.26;1,121.38;00444685;0;0;                  ;SR;BUBANJ POTOK;OMV EVRO DIZEL;187.000;6,728.26;0.00;0.00;1,121.38;RSD;8914386442;2024-08-15;YES;NO;217;OMV-RS;;;;D;7,232.00;Yes;771314;2024-08-02;1;
710111;107248;245;BG 1576 - KU;2024-08-16 14:00:00;OMV EVRO DIZEL;39.76;7,315.84;1,219.31;00071415;0;0;                  ;SR;BUBANJ POTOK;OMV EVRO DIZEL;184.000;7,315.84;0.00;0.00;1,219.31;RSD;;;NO;NO;217;OMV-RS;;;;D;7,872.50;Yes;740042;2024-08-16;1;
710111;107248;245;BG 1576 - KU;2024-08-19 12:05:00;AdBlue;8.34;577.80;96.30;00179416;0;0;                  ;SR;BUBANJ POTOK;AdBlue;69.280;577.80;0.00;0.00;96.30;RSD;;;NO;NO;217;OMV-RS;;;;D;1,034.20;Yes;720520;2024-08-19;1;
710111;107248;245;BG 1576 - KU;2024-08-23 17:09:00;OMV EVRO DIZEL;40.67;7,361.27;1,226.88;00180371;0;0;                  ;SR;BUBANJ POTOK;OMV EVRO DIZEL;181.000;7,361.27;0.00;0.00;1,226.88;RSD;;;NO;NO;217;OMV-RS;;;;D;7,930.70;Yes;771005;2024-08-23;1;
710111;107248;245;BG 1576 - KU;2024-09-02 13:40:00;OMV EVRO DIZEL;39.48;7,659.10;;00466520;;;;SR;Belgrade;OMV EVRO DIZEL;194.000;7,659.10;;;;RSD;;;NO;;0;OMV-RS;;;;D;0.00;;734012;2024-09-02;0;
710111;107248;302;BG 2024 - OV;2024-07-23 06:54:00;OMV EVRO DIZEL;44.95;8,540.50;1,423.42;00293888;0;0;                  ;SR;NIS;OMV EVRO DIZEL;190.000;8,540.50;0.00;0.00;1,423.42;RSD;8914384142;2024-07-31;YES;NO;217;OMV-RS;;;;D;9,214.80;Yes;765429;2024-07-23;1;
710111;107248;302;BG 2024 - OV;2024-07-03 07:24:00;OMV EVRO DIZEL;46.39;9,022.86;1,503.81;00286185;0;0;                  ;SR;NIS;OMV EVRO DIZEL;194.500;9,022.86;0.00;0.00;1,503.81;RSD;8914381536;2024-07-15;YES;NO;217;OMV-RS;;;;D;9,510.00;Yes;772443;2024-07-03;1;
